1,67,159,53,41,203,123,134,192,85,0,2,0,0,1,4,6,2,0,0,2,0,3,2,0,14,40,28,61,67,49,5,68,39,37,17,3,0,29,0,0,72,36,14,48,5
1,47,165,18,102,238,132,103,134,133,0,0,0,0,0,15,0,13,0,4,0,7,26,21,5,1,11,45,5,18,2,8,55,28,38,28,4,0,63,0,0,70,26,16,8,3
1,150,61,0,70,227,85,45,91,88,0,0,0,0,11,17,5,17,0,1,6,0,14,12,0,0,13,27,58,6,0,0,37,18,12,9,1,59,0,0,15,32,2,8,0,26
1,150,90,14,90,221,129,142,106,35,5,0,0,1,8,10,4,28,0,0,0,0,30,4,0,20,4,0,49,51,10,1,35,40,13,4,6,33,0,0,5,48,28,31,1,9
1,82,160,36,0,158,149,66,214,101,0,0,0,0,1,11,1,5,0,0,0,0,0,5,2,8,46,18,72,78,32,0,12,22,6,25,5,0,58,0,0,53,24,16,22,16
1,79,164,48,0,173,201,36,164,125,0,1,0,0,1,8,0,11,0,0,0,0,0,16,8,0,37,18,61,76,40,0,9,32,0,31,15,0,61,0,0,52,42,18,3,24
1,78,167,31,0,178,186,79,178,108,0,0,0,0,1,14,2,0,0,0,0,0,0,20,6,5,33,26,64,83,27,0,15,35,10,42,4,0,66,0,0,53,43,21,8,8
1,78,168,49,46,176,156,117,154,79,0,0,0,0,2,13,9,9,11,0,2,11,18,2,2,5,21,22,64,36,3,3,55,11,21,14,0,0,66,0,0,43,25,21,11,12
1,85,189,116,69,202,179,125,126,74,5,12,2,0,0,7,4,1,0,0,0,6,37,20,9,3,13,36,51,65,45,0,31,10,44,16,1,0,30,6,0,76,64,15,20,2
1,103,174,37,60,259,116,111,121,85,11,2,0,0,7,18,5,0,0,0,2,0,6,27,0,12,17,27,41,76,14,4,73,20,34,32,2,0,53,0,0,78,26,5,18,2
1,134,113,29,168,175,123,94,99,85,1,0,0,0,3,8,12,20,0,2,0,0,13,4,0,0,23,53,51,50,14,12,55,35,21,2,0,27,8,0,73,38,21,14,5,0
1,125,123,3,68,254,94,140,102,0,0,0,0,0,5,15,8,5,0,0,2,0,22,8,1,22,12,0,71,79,1,3,59,19,7,0,0,27,12,0,0,69,7,29,32,0
1,54,170,5,60,263,85,142,100,0,0,0,0,0,2,15,11,2,0,0,0,0,18,7,0,24,22,0,50,85,1,3,57,23,13,3,0,0,68,0,0,84,0,22,38,0
1,142,78,0,36,149,110,86,168,41,1,0,0,0,1,18,8,41,0,2,3,0,1,9,3,10,26,2,38,20,0,0,38,19,4,20,0,58,0,0,13,25,22,22,2,19
1,74,162,12,9,179,105,34,127,82,0,0,0,0,1,9,4,10,0,0,6,1,3,11,5,0,24,21,44,35,2,0,48,18,0,26,0,0,59,0,0,49,7,10,3,25
1,67,154,73,41,196,51,126,132,51,0,4,0,0,4,8,3,0,0,0,15,1,0,6,0,9,14,9,53,53,26,14,62,7,46,13,0,0,12,0,0,42,2,6,30,13
1,146,55,0,85,218,84,59,74,92,0,0,0,0,20,19,9,5,0,4,0,0,17,13,0,0,13,34,49,17,0,2,47,10,17,15,1,58,0,0,16,39,4,13,1,17
1,142,78,0,36,149,110,86,168,41,1,0,0,0,1,18,8,41,0,2,3,0,1,9,3,10,26,2,38,20,0,0,38,19,4,20,0,58,0,0,13,25,22,22,2,19
1,74,162,12,9,179,105,34,127,82,0,0,0,0,1,9,4,10,0,0,6,1,3,11,5,0,24,21,44,35,2,0,48,18,0,26,0,0,59,0,0,49,7,10,3,25
1,145,129,23,71,229,107,99,128,68,0,0,0,0,2,22,5,7,0,0,0,0,26,7,0,1,13,2,22,59,10,2,11,3,21,8,0,51,4,0,0,103,27,16,25,25
