1,6,24,4,22,23,13,31,12,12
1,9,23,12,9,30,19,19,22,13
1,2,25,5,7,27,21,23,16,10
1,4,25,3,6,30,16,22,26,15
1,4,25,2,9,27,16,22,27,11
1,14,23,0,24,26,18,18,13,19
1,12,26,0,13,37,16,16,16,15
1,13,26,3,14,36,20,14,13,14
1,13,25,7,6,37,13,17,15,14
1,12,24,13,9,35,18,24,17,15
1,13,24,12,7,38,14,22,18,9
1,20,9,0,20,25,17,25,12,15
1,13,13,0,15,31,16,24,21,12
1,11,17,0,15,28,15,24,20,14
1,24,14,4,23,23,13,19,11,16
1,23,14,6,17,24,10,21,28,14
1,20,14,7,22,23,11,21,27,14
1,21,8,0,14,21,11,11,23,13
1,13,12,0,22,15,13,17,25,13
1,23,13,0,14,21,7,32,27,15
1,20,14,1,23,25,9,27,25,14
1,19,20,4,20,18,5,20,26,15
1,7,24,2,7,28,16,21,22,13
1,13,28,12,11,29,19,16,23,13
1,7,26,3,16,31,18,16,20,15
1,19,15,9,9,32,21,19,17,15
1,21,14,5,14,26,18,23,22,7
1,13,25,7,6,26,25,18,21,18
1,13,24,6,0,27,25,12,20,18
1,7,29,13,13,27,28,15,27,15
1,14,24,4,8,35,21,17,22,15
1,12,25,7,7,33,13,17,18,16
1,23,14,6,22,24,15,22,24,12
1,21,18,5,20,24,18,12,24,12
1,18,17,0,11,36,12,16,20,15
1,12,21,0,10,29,23,17,24,16
1,12,23,4,9,29,24,17,28,15
1,11,24,9,9,27,16,15,23,7
1,19,17,2,8,36,12,15,20,0
1,10,24,5,12,31,14,14,21,3
1,10,22,8,6,30,17,21,28,14
1,6,24,3,18,35,19,16,20,21
1,23,11,0,12,29,12,7,14,15
1,23,14,2,14,30,20,22,16,5
1,12,24,6,0,23,22,9,31,16
1,12,26,8,0,25,29,5,27,20
1,13,25,4,0,26,29,12,27,17
1,13,25,8,7,27,23,18,23,13
1,14,25,12,10,30,29,19,18,11
1,15,25,6,9,37,18,17,18,12
